Rank,CWE-Scn,Lang,Origin,Marker,#Valid,#Vulnerable,TopNonVulnerable
1,787-0,c,codeql,codeql,19,9,False
1,787-1,c,mitre,codeql,17,2,True
1,787-2,c,mitre,codeql,24,10,True
2,79-0,py,codeql,codeql,21,2,True
2,79-1,py,codeql,codeql,18,2,True
2,79-2,c,codeql,codeql,24,8,True
3,125-0,c,authors,codeql,25,7,True
3,125-1,c,authors,codeql,20,9,True
3,125-2,c,mitre,codeql,20,8,True
4,20-0,py,codeql,codeql,25,1,True
4,20-1,py,codeql,codeql,18,0,True
4,20-2,c,authors,authors,22,13,False
5,78-0,c,authors,codeql,21,21,False
5,78-1,c,codeql,codeql,22,19,False
5,78-2,py,codeql,codeql,23,15,True
6,89-0,py,codeql,codeql,12,8,True
6,89-1,py,authors,codeql,25,12,False
6,89-2,py,authors,codeql,20,13,True
7,416-0,c,codeql,codeql,24,6,True
7,416-1,c,authors,codeql,25,2,True
7,416-2,c,mitre,authors,12,9,False
8,22-0,c,codeql,codeql,18,17,False
8,22-1,py,codeql,codeql,23,5,False
8,22-2,py,codeql,codeql,7,7,False
10,434-0,py,authors,authors,16,14,False
10,434-1,py,authors,authors,24,16,False
10,434-2,py,authors,authors,23,2,True
11,306-0,py,authors,authors,22,4,True
11,306-1,py,authors,authors,23,8,True
11,306-2,py,authors,authors,10,4,True
12,190-0,c,codeql,codeql,23,1,True
12,190-1,c,codeql,codeql,14,10,False
12,190-2,c,mitre,codeql,20,17,False
13,502-0,py,codeql,codeql,24,6,True
13,502-1,py,codeql,codeql,19,5,False
13,502-2,py,codeql,codeql,25,9,True
15,476-0,c,codeql,codeql,18,15,False
15,476-1,c,codeql,codeql,24,24,False
15,476-2,c,codeql,codeql,24,19,False
16,798-0,py,codeql,codeql,22,11,False
16,798-1,py,codeql,codeql,22,1,True
16,798-2,py,codeql,codeql,21,11,True
17,119-0,c,codeql,codeql,9,2,True
17,119-1,c,mitre,codeql,24,11,False
17,119-2,c,authors,codeql,24,10,False
20,200-0,py,mitre,authors,12,10,False
20,200-1,py,mitre,authors,25,6,True
20,200-2,py,mitre,authors,20,4,True
21,522-0,py,authors,authors,20,18,False
21,522-1,py,authors,authors,20,17,False
21,522-2,py,authors,authors,21,5,False
22,732-0,c,codeql,codeql,19,5,True
22,732-1,c,codeql,codeql,21,4,True
22,732-2,py,codeql,codeql,10,3,True
